key,ko,en,fr,it,de,es,ja,pt-BR,ru,zh-Hans
l,"피코, 이걸 손으로 직접 들고 온 건가요?","Pico, did you carry this here with your bare hands?","Pico, tu as porté ça à mains nues ?","Pico, hai portato qui questa cosa a mani nude?","Pico, hast du das mit bloßen Händen hierher getragen?","Pico, ¿trajiste esto con tus propias manos?",ピコ、これを素手で持ってきたんですか？,"Pico, você trouxe isso com as próprias mãos?","Пико, ты нёс это голыми руками?","皮科, 你是直接用手把这个拿过来的吗？"
l,이건 일반적인 광석이 아니에요. 어떤 '생명체'의 일부가 떨어져 나온 겁니다.,This isn't an ordinary ore. It's a fragment that fell from some kind of living creature.,Ce n'est pas un minerai ordinaire. C'est un fragment tombé d'une sorte de créature vivante.,Questo non è un minerale normale. È un frammento caduto da qualche forma di vita.,Das ist kein gewöhnliches Erz. Es ist ein Teilstück eines Lebewesens.,Esto no es un mineral común. Es un fragmento desprendido de algún ser vivo.,これは普通の鉱石じゃありません。何かの『生き物』から剥がれ落ちた一部です。,Isso não é um minério comum. É um fragmento que caiu de algum tipo de criatura viva.,Это не обычная руда. Это часть какого-то живого существа.,"这不是普通矿石, 而是某种“生物”身上掉落的一部分。"
l,아주 오랫동안 지하의 독기를 머금은 채로 말이죠.,And it's been absorbing the underground corruption for a very long time.,Et cela a absorbé les miasmes souterrains pendant très longtemps.,E ha assorbito il miasma sotterraneo per moltissimo tempo.,Und es hat sehr lange die giftige Energie des Untergrunds aufgenommen.,Y ha absorbido la corrupción subterránea durante muchísimo tiempo.,長い間、地下の瘴気を溜め込み続けていたんです。,E ficou absorvendo a corrupção subterrânea por muito tempo.,И оно очень долго впитывало подземную скверну.,而且它已经在地下吸收毒瘴很多很多年了。
p,생명체의 일부요? 하지만 아주 단단한걸요? 꼭 금속 같아요!,Part of a living creature? But it's really hard. It feels like metal!,Une partie d'un être vivant ? Pourtant c'est très dur. On dirait du métal !,Parte di una creatura vivente? Ma è durissimo. Sembra metallo!,Ein Teil eines Lebewesens? Aber es ist unglaublich hart. Fast wie Metall!,¿Parte de un ser vivo? ¡Pero es muy duro! ¡Parece metal!,生き物の一部ですか？でもすごく硬いですよ？まるで金属みたいです！,Parte de uma criatura viva? Mas é muito duro. Parece metal!,Часть живого существа? Но оно такое твёрдое. Почти как металл!,"生物的一部分？可是它特别坚硬, 简直像金属一样！"
l,(떨리는 손으로 비늘에 박힌 결정을 가리키며),(Pointing at the crystal embedded in the scale with trembling hands),"(D'une main tremblante, elle désigne le cristal incrusté dans l'écaille.)",(Indicando con mano tremante il cristallo incastonato nella scaglia),(Zeigt mit zitternder Hand auf den Kristall in der Schuppe.),(Señalando con mano temblorosa el cristal incrustado en la escama),（震える手でウロコに埋まった結晶を指差す。）,(Apontando com as mãos trêmulas para o cristal incrustado na escama),(Дрожащей рукой указывает на кристалл в чешуе.),（她用颤抖的手指向嵌在鳞片中的结晶。）
l,연금술 고서에서는 이런 결정을 '심연의 찌꺼기'라고 불러요.,"In ancient alchemy texts, crystals like this are called 'Residue of the Abyss.'","Dans les anciens grimoires d'alchimie, ce genre de cristal est appelé 'Résidu de l'Abîme'.","Negli antichi testi alchemici, cristalli come questo vengono chiamati 'Residuo dell'Abisso'.",In alten alchemistischen Schriften nennt man solche Kristalle 'Überreste des Abgrunds'.,"En antiguos textos de alquimia, cristales como este son llamados 'Residuos del Abismo'.",錬金術の古文書では、こういう結晶を『深淵の残滓』と呼ぶんです。,"Nos antigos textos de alquimia, cristais assim são chamados de 'Resíduo do Abismo'.",В древних алхимических книгах такие кристаллы называют 'Остатками Бездны'.,炼金术古书中把这种结晶称作“深渊残渣”。
l,무언가 거대한 것이 숨을 내뱉을 때마다 그 열기가 굳어서 만들어지는 결정이죠.,They're crystals formed when the heat from some enormous being's breath solidifies.,Ce sont des cristaux créés lorsque la chaleur du souffle d'une immense créature se solidifie.,Sono cristalli formati dal calore del respiro di una creatura gigantesca che si solidifica.,"Diese Kristalle entstehen, wenn die Hitze des Atems eines gewaltigen Wesens erstarrt.",Son cristales formados cuando el calor del aliento de una criatura gigantesca se solidifica.,何か巨大な存在が吐き出す熱が固まってできた結晶なんです。,São cristais formados quando o calor da respiração de uma criatura gigantesca se solidifica.,"Это кристаллы, образующиеся, когда жар дыхания огромного существа застывает.",它是某种巨大存在呼出的热息凝固后形成的结晶。
l,최근 들어 광산의 진동이 이상할 정도로 규칙적이에요.,"Recently, the tremors in the mine have become unnaturally rhythmic.","Ces derniers temps, les secousses de la mine sont devenues étrangement régulières.",Ultimamente le vibrazioni della miniera sono diventate stranamente regolari.,In letzter Zeit sind die Erschütterungen der Mine unnatürlich regelmäßig geworden.,"Últimamente, los temblores de la mina se han vuelto extrañamente regulares.",最近、鉱山の揺れ方が異様なほど規則的なんです。,"Ultimamente, os tremores da mina ficaram estranhamente regulares.",В последнее время толчки в шахте стали пугающе ритмичными.,最近矿山的震动规律得异常反常。
l,촌장님은 지맥이 불안정할 뿐이라고 하시지만...,"The chief says it's just unstable ley lines, but...","Le chef dit que ce ne sont que des lignes telluriques instables, mais...","Il capo dice che sono solo vene terrestri instabili, ma...","Der Dorfchef sagt, es seien nur instabile Erdadern, aber...","El jefe dice que solo son corrientes subterráneas inestables, pero...",村長さんは地脈が不安定なだけだと言っていますが…。,"O chefe diz que são apenas correntes subterrâneas instáveis, mas...","Староста говорит, что это просто нестабильные подземные жилы, но...","村长说只是地脉不稳定而已, 可是……"
l,제 생각엔 무언가 '거대한 심장'이 다시 뛰기 시작한 것 같아요.,I think some kind of 'massive heart' has started beating again.,Je pense qu'une sorte d'énorme cœur a recommencé à battre.,"Secondo me, una sorta di 'cuore gigantesco' ha ripreso a battere.","Ich glaube, irgendein 'gewaltiges Herz' hat wieder zu schlagen begonnen.",Creo que una especie de 'corazón gigantesco' ha comenzado a latir otra vez.,私には、何か『巨大な心臓』が再び動き始めたように思えるんです。,Eu acho que algum tipo de 'coração gigantesco' começou a bater novamente.,"Мне кажется, что какое-то 'огромное сердце' снова начало биться.","我觉得, 有某种“巨大的心脏”重新开始跳动了。"
p,심장이요? 그럼 진짜로 땅 밑에 누가 살고 있다는 거예요?,A heart? Then does that mean something is really living beneath the ground?,Un cœur ? Alors ça veut dire que quelque chose vit vraiment sous terre ?,Un cuore? Vuol dire che davvero qualcosa vive sotto terra?,"Ein Herz? Bedeutet das, dass wirklich etwas unter der Erde lebt?",¿Un corazón? ¿Entonces de verdad hay algo viviendo bajo tierra?,心臓ですか？じゃあ、本当に地面の下に何かいるってことですか？,Um coração? Então existe mesmo algo vivendo debaixo da terra?,"Сердце? Значит, под землёй действительно кто-то живёт?",心脏？那岂不是说地下真的有什么东西活着吗？
l,"피코, 약속하세요. 광산 깊은 곳에서 이런 보랏빛 안개가 피어오르거나,","Pico, promise me this. If you ever see purple mist rising in the deep parts of the mine,","Pico, promets-moi une chose. Si tu vois un brouillard violet dans les profondeurs de la mine,","Pico, promettimi una cosa. Se nelle profondità della miniera vedrai una nebbia viola salire,","Pico, versprich mir etwas. Wenn du tief in der Mine violetten Nebel aufsteigen siehst,","Pico, prométeme algo. Si ves una niebla púrpura surgir en lo profundo de la mina,",ピコ、約束してください。鉱山の奥でこんな紫色の霧が立ち込めていたり、,"Pico, me prometa uma coisa. Se você vir uma névoa roxa surgindo nas profundezas da mina,","Пико, пообещай мне. Если глубоко в шахте ты увидишь фиолетовый туман,","皮科, 你答应我。如果在矿山深处看到这种紫色雾气升起,"
l,무거운 쇠사슬이 팽팽하게 당겨지는 소리가 들리면...,or hear the sound of heavy chains being pulled tight...,ou si tu entends le bruit de lourdes chaînes se tendre...,o sentirai il rumore di pesanti catene che si tendono...,"oder das Geräusch schwerer Ketten hörst, die gespannt werden...",o escuchas el sonido de pesadas cadenas tensándose...,重たい鎖がきしみながら引き絞られる音が聞こえたら…。,ou ouvir o som de correntes pesadas sendo puxadas...,"или услышишь, как натягиваются тяжёлые цепи...",或者听到沉重锁链被拉紧的声音……
l,아무리 귀한 광석이 보여도 바로 돌아오셔야 해요. 그건 땅이 보내는 경고니까요.,"no matter how valuable the ore looks, you must turn back immediately. That's the earth's warning.","peu importe la valeur du minerai, tu dois immédiatement rebrousser chemin. C'est un avertissement de la terre.","non importa quanto prezioso sembri il minerale, devi tornare subito indietro. È un avvertimento della terra.","egal wie wertvoll das Erz aussieht, musst du sofort umkehren. Das ist eine Warnung der Erde.","sin importar cuán valioso parezca el mineral, debes regresar de inmediato. Es una advertencia de la tierra.",どんなに貴重な鉱石が見えても、すぐに引き返してください。それは大地からの警告です。,"não importa o quão valioso o minério pareça, você deve voltar imediatamente. É um aviso da terra.","как бы ценно ни выглядело найденное, ты должен немедленно возвращаться. Это предупреждение самой земли.","不管看到多么珍贵的矿石, 都必须立刻回来。那是大地发出的警告。"
p,누나가 그렇게까지 말씀하시니까 저도 조금 무서워지려고 해요.,Hearing you say that makes even me a little scared.,"Quand tu dis ça comme ça, même moi je commence à avoir peur.","Detto così, persino io inizio ad avere un po' paura.","Wenn du das so sagst, bekomme selbst ich ein bisschen Angst.","Si lo dices así, hasta yo empiezo a asustarme un poco.",そんなふうに言われると、僕もちょっと怖くなってきます。,"Ouvindo você dizer isso, até eu começo a ficar com medo.","Когда ты так говоришь, даже мне становится страшновато.","被姐姐这么一说, 我也开始有点害怕了。"
l,(멀어지는 피코를 보며 입술을 깨문다.),"(Watching Pico walk away, she bites her lip.)","(En regardant Pico s'éloigner, elle mord sa lèvre.)","(Guardando Pico allontanarsi, si morde il labbro.)",(Sieht Pico nach und beißt sich auf die Lippe.),"(Mirando a Pico alejarse, se muerde el labio.)",（遠ざかるピコを見つめながら、唇を噛む。）,"(Observando Pico se afastar, ela morde os lábios.)","(Провожая Пико взглядом, она прикусывает губу.)","（望着离去的皮科, 她轻轻咬住嘴唇。）"
l,비늘 한 조각에서 이 정도의 박동이 느껴지다니.,To feel this much pulse from a single scale fragment...,Ressentir une telle pulsation d'un simple fragment d'écaille...,Provare una pulsazione simile da un solo frammento di scaglia...,Dass von nur einer einzigen Schuppe so ein Puls ausgeht...,Sentir semejante pulso de un solo fragmento de escama...,たった一枚のウロコから、これほどの鼓動を感じるなんて…。,Sentir uma pulsação tão forte de um único fragmento de escama...,Чтобы даже от одного осколка чешуи исходило такое биение...,仅仅一块鳞片就能传来如此强烈的脉动……
l,촌장님은 대체 이 아이를 어디까지 밀어 넣으려는 거지?,Just how deep does the chief intend to push this child?,Jusqu'où le chef compte-t-il pousser cet enfant ?,Fin dove intende spingere questo bambino il capo del villaggio?,Wie weit will der Dorfchef dieses Kind noch treiben?,¿Hasta dónde piensa llevar el jefe a este niño?,村長さんは、この子を一体どこまで追い込むつもりなんでしょう…。,Até onde o chefe pretende empurrar essa criança...?,До какой же глубины староста собирается загнать этого ребёнка...?,村长到底打算把这孩子逼到什么地步……
T,**,**,**,**,**,**,**,**,**,**





T,********************************************25. 냉각제 발견*******************************************
p,어? 바위 틈에 웬 깨진 유리병이 버려져 있네.,Huh? There's a broken glass bottle wedged in the crack of this rock.,Huh ? Une bouteille en verre brisée est coincée dans la fissure de ce rocher.,Eh? C'è una bottiglia di vetro rotta incastrata nella fessura della roccia.,Huh? In diesem Felsspalt steckt eine zerbrochene Glasflasche.,¿Eh? Hay una botella de vidrio rota atrapada en la grieta de la roca.,あれ？岩の隙間に割れたガラス瓶が落ちてる。,Hã? Tem uma garrafa de vidro quebrada presa na rachadura da rocha.,А? В трещине скалы застряла разбитая стеклянная бутылка.,咦？岩石缝里怎么卡着一个破掉的玻璃瓶。
p,안에는 원래 맑은 푸른색 약이 들어있었던 것 같은데...,It looks like it originally contained some kind of clear blue medicine...,On dirait qu'il y avait à l'origine un médicament bleu transparent dedans...,Sembra che originariamente contenesse una medicina azzurra e limpida...,"Es sieht so aus, als wäre ursprünglich eine klare blaue Medizin darin gewesen...",Parece que originalmente contenía una medicina azul transparente...,中には元々、透き通った青い薬が入ってたみたいだけど…。,Parece que originalmente havia um remédio azul transparente dentro dela...,"Похоже, раньше внутри было прозрачное синее лекарство...",里面原本好像装着透明的蓝色药水……
p,지금은 보랏빛 점액이랑 섞여서 엄청 탁해졌어.,But now it's mixed with some purple slime and turned really murky.,"Mais maintenant, il est mélangé à une substance violette et est devenu très trouble.",Ma ora si è mescolata con una melma viola ed è diventata torbidissima.,Jetzt ist sie jedoch mit violettem Schleim vermischt und völlig trüb geworden.,Pero ahora está mezclada con una baba morada y se volvió muy turbia.,今は紫色の粘液と混ざって、すごく濁ってる。,Mas agora está misturado com uma gosma roxa e ficou muito turvo.,Но сейчас оно смешалось с фиолетовой слизью и стало совсем мутным.,"现在却和紫色黏液混在一起, 变得浑浊不堪。"
p,"(가까이 다가가니) 우와, 병 주변만 공기가 엄청 차가워!","(As he moves closer) Whoa, the air around the bottle is freezing cold!","(En s'approchant) Ouah, l'air autour de la bouteille est glacé !","(Avvicinandosi) Wow, l'aria intorno alla bottiglia è gelida!","(Als er näher kommt) Wow, die Luft um die Flasche herum ist eiskalt!","(Al acercarse) ¡Vaya, el aire alrededor de la botella está heladísimo!",（近づいてみると）うわ、瓶の周りだけ空気がすごく冷たい！,"(Ao se aproximar) Uau, o ar ao redor da garrafa está congelante!","(Подойдя ближе) Ого, воздух вокруг бутылки ледяной!","（靠近之后）哇, 只有瓶子周围的空气特别冰冷！"
p,꼭 얼음 덩어리를 만지는 것 같아.,It feels just like touching a block of ice.,On dirait que je touche un bloc de glace.,Sembra di toccare un blocco di ghiaccio.,"Es fühlt sich an, als würde man einen Eisblock berühren.",Se siente como tocar un bloque de hielo.,まるで氷の塊を触ってるみたいだ。,Parece que estou tocando um bloco de gelo.,Будто прикасаешься к куску льда.,简直像在摸冰块一样。
p,마을에서 이런 약을 만드는 분은 포라 아주머니뿐인데...,Aunt Pora is the only person in the village who makes medicine like this...,Tante Pora est la seule du village à fabriquer ce genre de médicament...,Zia Pora è l'unica nel villaggio che prepara medicine del genere...,"Tante Pora ist die Einzige im Dorf, die solche Medizin herstellt...",La tía Pora es la única en el pueblo que hace medicinas así...,村でこんな薬を作れるのはポラおばさんだけなのに…。,A tia Pora é a única na vila que faz remédios assim...,Только тётя Пора умеет делать такие лекарства в деревне...,村里能做这种药的只有芙拉阿姨……
p,가져가서 뭔지 여쭤봐야겠다.,I should bring it to her and ask what it is.,Je devrais lui apporter et lui demander ce que c'est.,Meglio portargliela e chiederle cosa sia.,"Ich sollte es ihr bringen und fragen, was das ist.",Será mejor llevárselo y preguntarle qué es.,持って行って、何なのか聞いてみよう。,Vou levar isso para ela e perguntar o que é.,"Надо отнести это ей и спросить, что это такое.",还是拿去问问她这到底是什么吧。
T,**,**,**,**,**,**,**,**,**,**





T,********************************************26. 포라에게 냉각제 전달*******************************************
p,포라 아주머니! 지하 깊은 곳에서 이 부서진 병을 찾았어요.,Aunt Pora! I found this broken bottle deep underground.,Tante Pora ! J'ai trouvé cette bouteille cassée tout au fond des souterrains.,Zia Pora! Ho trovato questa bottiglia rotta nelle profondità sotterranee.,Tante Pora! Ich habe diese zerbrochene Flasche tief unter der Erde gefunden.,¡Tía Pora! Encontré esta botella rota en las profundidades subterráneas.,ポラおばさん！地下深くでこの割れた瓶を見つけました。,Tia Pora! Encontrei esta garrafa quebrada bem no fundo do subterrâneo.,Тётя Пора! Я нашёл эту разбитую бутылку глубоко под землёй.,芙拉阿姨！我在地下深处发现了这个破碎的瓶子。
p,이거 아주머니가 만드신 냉각제 맞죠? 근데 색깔이 이상해요.,"This is the coolant you made, right? But the color looks strange.","C'est bien le liquide de refroidissement que vous avez fabriqué, non ? Mais la couleur est étrange.","È il refrigerante che ha preparato lei, vero? Però il colore è strano.","Das ist doch das Kühlmittel, das Sie hergestellt haben, oder? Aber die Farbe sieht seltsam aus.","Este es el refrigerante que usted hizo, ¿verdad? Pero el color se ve extraño.",これ、ポラおばさんが作った冷却剤ですよね？でも色が変なんです。,"Esse é o refrigerante que a senhora fez, não é? Mas a cor está estranha.","Это ведь охлаждающая жидкость, которую вы сделали? Но цвет какой-то странный.",这是阿姨您做的冷却剂吧？可是颜色很奇怪。
f,(병을 보자마자 안색이 창백해지며 집게로 병을 낚아채듯 가져간다.),"(The moment she sees the bottle, her face turns pale as she snatches it away with tongs.)","(Dès qu'elle voit la bouteille, son visage pâlit et elle la saisit rapidement avec des pinces.)","(Appena vede la bottiglia, impallidisce e la afferra rapidamente con delle pinze.)","(Sobald sie die Flasche sieht, wird sie blass und greift sie hastig mit einer Zange.)","(En cuanto ve la botella, palidece y la toma rápidamente con unas pinzas.)",（瓶を見るなり顔色を変え、火ばさみでひったくるように掴む。）,"(Assim que vê a garrafa, empalidece e a pega rapidamente com uma pinça.)","(Увидев бутылку, она бледнеет и быстро хватает её щипцами.)","（一看到瓶子, 脸色瞬间发白, 用夹子一把夹了过去。）"
f,(병 안의 탁해진 액체를 흔들어보더니 떨리는 목소리로 말한다.),(She shakes the murky liquid inside the bottle and speaks in a trembling voice.),(Elle secoue le liquide trouble dans la bouteille avant de parler d'une voix tremblante.),(Agita il liquido torbido nella bottiglia e parla con voce tremante.),(Sie schüttelt die trübe Flüssigkeit in der Flasche und spricht mit zitternder Stimme.),(Sacude el líquido turbio dentro de la botella y habla con voz temblorosa.),（瓶の中の濁った液体を揺らしながら、震える声で言う。）,(Ela balança o líquido turvo dentro da garrafa e fala com a voz trêmula.),(Она встряхивает мутную жидкость внутри бутылки и говорит дрожащим голосом.),"（晃了晃瓶中浑浊的液体, 声音发颤地说道。）"
f,"피코, 이거 어디서 났니?","Pico, where did you find this?","Pico, où as-tu trouvé ça ?","Pico, dove hai trovato questo?","Pico, wo hast du das gefunden?","Pico, ¿dónde encontraste esto?",ピコ、これをどこで見つけたの？,"Pico, onde você encontrou isso?","Пико, где ты это нашёл?","皮科, 这东西你是从哪里找到的？"
f,설마 촌장님이 매달 지맥 안정을 위해 약을 가져가시던...,Don't tell me you went near the place where the chief used to take medicine every month to stabilize the ley lines...,Ne me dis pas que tu es allé près de l'endroit où le chef apportait chaque mois des médicaments pour stabiliser les veines telluriques...,Non dirmi che sei andato vicino al luogo dove il capo portava ogni mese le medicine per stabilizzare le vene terrestri...,"Sag bloß nicht, dass du in die Nähe des Ortes gegangen bist, an den der Dorfchef jeden Monat Medizin brachte, um die Erdadern zu stabilisieren...",No me digas que fuiste cerca del lugar donde el jefe llevaba medicinas cada mes para estabilizar las vetas terrestres...,まさか村長さんが毎月、地脈を安定させるために薬を運んでいた…,Não me diga que você foi perto do lugar onde o chefe levava remédios todo mês para estabilizar as linhas de energia...,"Только не говори, что ты забрался туда, куда староста каждый месяц носил лекарства для стабилизации жил...",难道你去了村长每个月都会带药去稳定地脉的那个地方……
f,그 깊은 곳 근처까지 들어간 거야?,You went that deep underground?,Tu es allé jusque dans ces profondeurs ?,Sei arrivato fino a quelle profondità?,Du bist bis in diese Tiefen vorgedrungen?,¿Llegaste hasta esas profundidades?,あの深い場所の近くまで入ったの？,Você foi até aquelas profundezas?,Ты спустился так глубоко?,你居然去了那么深的地方？
p,그냥 커다란 사슬이 박힌 바위 틈에서 주웠는데... 이거 지맥을 식히는 약인가요?,I just found it in a crack between rocks with giant chains stuck in them... Is this medicine used to cool the ley lines?,Je l'ai juste trouvé dans une fissure rocheuse avec d'énormes chaînes... C'est un médicament pour refroidir les veines telluriques ?,L'ho trovato in una crepa tra rocce con enormi catene... È una medicina per raffreddare le vene terrestri?,"Ich habe es nur in einer Felsspalte mit riesigen Ketten gefunden... Ist das ein Mittel, um die Erdadern abzukühlen?",Solo lo encontré en una grieta entre rocas con enormes cadenas... ¿Es una medicina para enfriar las vetas terrestres?,大きな鎖が刺さった岩の隙間で拾っただけですけど…これって地脈を冷やす薬なんですか？,Eu só encontrei isso numa fenda entre rochas com correntes enormes... Isso é um remédio para resfriar as linhas de energia?,Я просто нашёл это в трещине между скалами с огромными цепями... Это лекарство для охлаждения жил?,我只是在插着巨大锁链的岩石缝里捡到的……这是用来给地脉降温的药吗？
f,(용기 안의 보랏빛 결정을 유심히 살피며 안색이 굳는다.),(She studies the purple crystals inside the container as her expression hardens.),(Elle observe attentivement les cristaux violets dans le récipient et son expression se fige.),(Osserva attentamente i cristalli viola nel contenitore e il suo volto si irrigidisce.),(Sie betrachtet die violetten Kristalle im Behälter genau und ihr Gesicht verhärtet sich.),(Observa atentamente los cristales morados dentro del recipiente y su expresión se endurece.),（容器の中の紫色の結晶を見つめ、表情を強張らせる。）,(Ela observa atentamente os cristais roxos dentro do recipiente e sua expressão endurece.),"(Она внимательно рассматривает фиолетовые кристаллы в сосуде, и её лицо мрачнеет.)","（仔细观察容器里的紫色结晶, 脸色愈发凝重。）"
f,그래... 지맥의 '열기'를 식히는 약이지. 원래는 아주 맑은 푸른색이어야 하는데.,Yes... It's medicine used to cool the 'heat' of the ley lines. It should originally be a clear blue color.,Oui... C'est un médicament destiné à refroidir la 'chaleur' des veines telluriques. Il devrait normalement être d'un bleu clair.,Sì... È una medicina usata per raffreddare il 'calore' delle vene terrestri. Originariamente dovrebbe essere di un blu limpido.,"Ja... Es ist ein Mittel, um die 'Hitze' der Erdadern zu kühlen. Eigentlich sollte es klar blau sein.",Sí... Es una medicina para enfriar el 'calor' de las vetas terrestres. Originalmente debería ser de un azul transparente.,そう…地脈の『熱』を冷ます薬なの。本来なら透き通った青色のはずなんだけど。,Sim... É um remédio para resfriar o 'calor' das linhas de energia. Originalmente deveria ser azul transparente.,Да... Это лекарство охлаждает 'жар' жил. Изначально оно должно быть прозрачного синего цвета.,是啊……这是用来冷却地脉‘热量’的药。本来应该是清澈的蓝色。
f,"사고가 났던 날, 촌장님이 급히 챙겨가셨던 약들도 전부 이렇게 변해서 돌아왔단다.","On the day of the accident, all the medicine the chief hurriedly took with him came back looking like this.","Le jour de l'accident, tous les médicaments que le chef avait emportés en urgence sont revenus dans cet état.","Il giorno dell'incidente, tutte le medicine che il capo aveva portato via in fretta sono tornate ridotte così.","An dem Tag des Unfalls kamen alle Medikamente, die der Dorfchef hastig mitgenommen hatte, in diesem Zustand zurück.","El día del accidente, todas las medicinas que el jefe se llevó apresuradamente regresaron así.",事故の日、村長さんが慌てて持って行った薬も全部こんな風になって戻ってきたの。,"No dia do acidente, todos os remédios que o chefe levou às pressas voltaram assim.","В день аварии все лекарства, которые староста срочно забрал с собой, вернулись в таком виде.","事故那天, 村长匆忙带走的药剂也全都变成这样后被带了回来。"
f,마치 무언가에 오염된 것처럼 보랏빛으로 탁해져서 말이야.,"They became cloudy and purple, as if something had contaminated them.","Ils étaient devenus troubles et violets, comme contaminés par quelque chose.","Erano diventati torbidi e violacei, come se qualcosa li avesse contaminati.","Sie wurden trüb und violett, als wären sie von etwas verunreinigt worden.","Se volvieron turbios y morados, como si algo los hubiera contaminado.",何かに汚染されたみたいに紫色に濁ってしまってね。,"Eles ficaram turvos e roxos, como se tivessem sido contaminados por alguma coisa.","Они помутнели и стали фиолетовыми, словно были чем-то заражены.","像是被什么污染了一样, 变得浑浊发紫。"
p,오염요? 촌장님은 그냥 지하 공기가 좀 탁해진 것뿐이라고 하셨는데...,Contaminated? But the chief said the underground air had just become a little stale...,Contaminés ? Pourtant le chef a dit que l'air souterrain était juste devenu un peu plus lourd...,Contaminati? Però il capo ha detto che l'aria sotterranea era solo un po' peggiorata...,"Verunreinigt? Aber der Dorfchef sagte, die Luft unter der Erde sei nur etwas stickig geworden...",¿Contaminados? Pero el jefe dijo que el aire subterráneo solo se había vuelto un poco más pesado...,汚染ですか？でも村長さんは地下の空気が少し淀んだだけだって…,Contaminado? Mas o chefe disse que o ar subterrâneo só tinha ficado um pouco pesado...,"Заражены? Но староста говорил, что воздух под землёй просто стал немного тяжелее...",污染？可是村长说只是地下空气变浑浊了一点而已……
f,(창밖의 광산 입구를 불안하게 바라보며 목소리를 낮춘다.),(She nervously looks toward the mine entrance outside the window and lowers her voice.),(Elle regarde nerveusement l'entrée de la mine par la fenêtre et baisse la voix.),(Guarda nervosamente verso l'ingresso della miniera fuori dalla finestra e abbassa la voce.),(Sie blickt nervös zum Mineneingang draußen und senkt ihre Stimme.),(Mira nerviosamente hacia la entrada de la mina fuera de la ventana y baja la voz.),（窓の外の鉱山入口を不安そうに見ながら声を潜める。）,(Ela olha nervosamente para a entrada da mina pela janela e abaixa a voz.),(Она тревожно смотрит на вход в шахту за окном и понижает голос.),"（不安地望向窗外的矿山入口, 压低声音说道。）"
f,촌장님은 마을 사람들이 불안해할까 봐 말을 아끼시는 거겠지.,The chief is probably holding back the truth so the villagers won't panic.,Le chef retient probablement certaines choses pour éviter d'inquiéter les villageois.,Il capo probabilmente nasconde la verità per non allarmare gli abitanti del villaggio.,"Der Dorfchef verschweigt wahrscheinlich einiges, damit die Dorfbewohner nicht in Panik geraten.",El jefe probablemente se está guardando cosas para que los aldeanos no entren en pánico.,村長さんは村のみんなが不安になるのを恐れて黙っているんでしょう。,O chefe provavelmente está escondendo a verdade para que os moradores não entrem em pânico.,"Староста, наверное, скрывает правду, чтобы жители деревни не паниковали.","村长大概是不想让大家不安, 所以才没有说出来吧。"
f,"하지만 피코, 이 약병이 부서져 있었다는 건...","But Pico, the fact that this bottle was shattered means...","Mais Pico, le fait que cette bouteille soit brisée signifie que...","Ma Pico, il fatto che questa bottiglia fosse rotta significa che...","Aber Pico, dass diese Flasche zerbrochen war, bedeutet...","Pero Pico, el hecho de que esta botella estuviera rota significa que...",でもピコ、この薬瓶が割れていたってことは…,"Mas Pico, o fato desta garrafa estar quebrada significa que...","Но Пико, то, что эта бутылка была разбита, означает...","但是皮科, 这个药瓶居然碎掉了, 也就是说……"
f,이제 이 정도 냉각제로는 지하의 열기를 감당하기 벅차다는 뜻일지도 몰라.,It may mean that this level of coolant is no longer enough to handle the underground heat.,Cela signifie peut-être que ce niveau de liquide de refroidissement ne suffit plus à contenir la chaleur souterraine.,Potrebbe significare che questo tipo di refrigerante non basta più a contenere il calore sotterraneo.,"Es könnte bedeuten, dass dieses Kühlmittel nicht mehr ausreicht, um die Hitze unter der Erde zu kontrollieren.",Puede significar que este refrigerante ya no es suficiente para soportar el calor subterráneo.,この程度の冷却剤じゃ、地下の熱を抑えきれなくなっているのかもしれない。,Pode significar que esse nível de refrigerante já não é suficiente para conter o calor subterrâneo.,"Возможно, это значит, что такого охлаждения уже недостаточно, чтобы сдерживать жар под землёй.","也许说明这种程度的冷却剂, 已经压不住地下的热量了。"
p,"에이, 전 튼튼하니까 괜찮아요! 촌장님이 전 지하 열기도 잘 견딜 거래요.","Aw, I'll be fine! I'm tough. The chief said I can handle the underground heat just fine.","Oh, ça ira ! Je suis solide. Le chef a dit que je supportais très bien la chaleur souterraine.","Ma dai, starò bene! Sono resistente. Il capo ha detto che sopporto bene il calore sotterraneo.","Ach, mir geht's gut! Ich bin robust. Der Dorfchef meinte, ich halte die Hitze unter der Erde gut aus.","Bah, ¡yo estaré bien! Soy fuerte. El jefe dijo que aguanto muy bien el calor subterráneo.",大丈夫ですよ！僕は頑丈ですし。村長さんも地下の熱に強いって言ってました！,"Ah, eu vou ficar bem! Sou resistente. O chefe disse que eu aguento bem o calor subterrâneo.","Да ладно, со мной всё будет хорошо! Я крепкий. Староста сказал, что я отлично переношу подземный жар.",没事啦！我很结实的。村长也说我很能承受地下的热量！
